unit_name,asa,background,fur,skin,eyes,posture,clothing,hats,item,accessories,rarity_score,rank,name
AGA535,545073559,Purple and Light Green and White Radial,Normal,Normal,Purple,Arm up,Banana Shirt,Yellow Dreads,Red Cocktail,White Shudder Shades,254.627383242274,52,AlgorillaArmy#535
AGA206,387122163,White and Pink,Lava,Normal,Normal,Arm up,White Spacesuit,Red Backwards Cap,Purple Cocktail,Red Clown Nose,253.91913887554136,53,AlgorillaArmy#206
AGA302,425980490,White and Purple,Lava,Green,Normal,Arm down,,Unicorn Horn,,Yellow Lasers,253.4414224352689,54,AlgorillaArmy#302
AGA999,545210401,Bright Pink and Light Blue,Red,Pink,Red,"Arm up, smiling",Banana Shirt,Unicorn Horn,Gold Selfiestick,Yellow Shutter Shades,251.7695526897667,55,AlgorillaArmy#999
AGA22,377714386,Bright Pink and Purple,Gold,Gold,Silver,"Arm up, smiling",,Gold Dreads,Green Cocktail,Anderson Glasses,251.61933592219685,56,AlgorillaArmy#22
AGA166,384720320,Purple and Light Green,Blue,Blue,Normal,Arm up,Purple Hawaiian Shirt,,Cutlass,Gold Algo Necklace,250.82581381930072,57,AlgorillaArmy#166
AGA63,378875356,Grey and Silver Radial,Blue,Yellow,Normal,"Arm up, smiling",,Red Backwards Cap,Plunger,Blue Lasers,249.6766079363213,58,AlgorillaArmy#63
AGA50,377754400,Light Blue and Deep Blue,Red,Normal,Normal,Arm down,Red Vneck,Red Dreads,,Green Lasers,248.069938865504,59,AlgorillaArmy#50
AGA88,379128557,Bright Pink and Light Blue,Normal,Green,Silver,"Arm up, smiling",White Tanktop,Green Beanie,Red Selfiestick,Green Lasers,247.1807357220013,60,AlgorillaArmy#88
AGA451,545038294,Purple and Light Green,Blue Zebra,Red,Yellow,Arm down,,Purple Dreads,,,245.7837814930321,61,AlgorillaArmy#451
AGA915,545199949,Light Green and Mid Green,Normal,Pink,Normal,Arm up,Green Tanktop,Rainbow Afro,Red Selfiestick,Blue Lasers,244.5680124206356,62,AlgorillaArmy#915
AGA955,545204829,Light Green and Mid Green,Red,Yellow,Blue,"Arm down, smiling",Teal Vneck,Robot Head,,Blue Shutter Shades,243.76062388850767,63,AlgorillaArmy#955
AGA116,384652743,Sky Blue and White,Silver,Blue,Pink,"Arm down, smiling",Blue Vneck,Robot Head,,Morpheus Glasses,243.29551789278676,64,AlgorillaArmy#116
AGA355,449578238,Purple and Light Green and White Radial,Gold,Yellow,Normal,"Arm down, smiling",Yellow Vneck,Silver Crown,,Neo Glasses,243.16023998501555,65,AlgorillaArmy#355
AGA377,544998961,Grey and Green,Lava,Pink,Black,"Arm up, smiling",,Yellow Backwards Cap,Yellow Cocktail,,242.9105820190724,66,AlgorillaArmy#377
AGA990,545209265,Light Grey and Yellow,Blue,Normal,Silver,Arm down,Orange Sports Bra,Red Dreads,,Morpheus Glasses,242.4938952147429,67,AlgorillaArmy#990
AGA327,449491859,Light Green and Mid Green,Normal,Red,Blue,Arm up,Black Sports Bra,Blue Beanie,Microphone,Neo Glasses,242.1726780062388,68,AlgorillaArmy#327
AGA25,377717992,Purple and Light Green,Purple,Green,Green,"Arm up, smiling",Orange Hawaiian Shirt,Yellow Banana Hat,Red Selfiestick,Blue Lasers,242.06740898471676,69,AlgorillaArmy#25
AGA351,449566529,White and Pink,Red,Blue,Normal,Arm up,Green Tanktop,Unicorn Horn,Oar,Blue Shutter Shades,240.65966268880783,70,AlgorillaArmy#351
AGA452,545038647,Purple and Light Green,Red Zebra,Blue,Normal,Arm down,Leather Belt,Unicorn Horn,,Yellow Shutter Shades,240.45318223583936,71,AlgorillaArmy#452
AGA401,545002198,Purple and Light Green,Rainbow,Red,Yellow,"Arm down, smiling",Suit Purple Tie,White Fishing Hat,,,239.81148953701543,72,AlgorillaArmy#401
